Sr. No.,Scrip Code,Name of Company,TICKER
993,534600,JTL INDUSTRIES LIMITED,JTLINFRA
994,506235,Alembic  Ltd,ALEMBIC
995,507514,Som Distilleries & Breweries Ltd.,SDBL
996,526947,La Opala RG Ltd.,LAOPALA
997,544532,Solarworld Energy Solutions Limited,SOLARWORLD
998,530073,Sanghvi Movers Ltd.,SANGHVIMOV
999,540212,TCI Express Limited,TCIEXP
1000,524164,IOL Chemicals & Pharmaceuticals Ltd,IOLCP
1001,519477,CIAN Agro Industries & Infrastructure Limited,CIANAGRO
1002,538734,CEINSYS TECH LIMITED,CEINSYS
1003,526125,BN AGROCHEM LIMITED,BNAGRO
1004,544519,EURO PRATIK SALES LIMITED,EUROPRATIK
1005,500052,Bhansali Engineering Polymers Ltd.,BEPL
1006,531349,Panacea Biotec Ltd.,PANACEA
1007,531508,Eveready Industries India Ltd.,EVEREADY
1008,513269,Man Industries (India) Ltd,MANINDS
1009,530367,NRB Bearings Ltd.,NRBBEARING
1010,524394,Vimta Labs Ltd.,VIMTALABS
1011,526650,Tourism Finance Corpn. Of India Ltd,TFCILTD
1012,503681,Elcid Investments Ltd.,ECLID
1013,544150,KP GREEN ENGINEERING LIMITED,KPGREEN
1014,505010,Automotive Axles Ltd.,AUTOAXLES
1015,532612,Indoco Remedies Ltd.,INDOCO
1016,540710,Capacit'e Infraprojects Limited,CAPACITE
1017,532368,BRIGHTCOM GROUP LIMITED,BRIGHTCOM
1018,519183,ADF Foods Limited.,ADFFOODS
1019,532390,Taj GVK Hotels & Resorts Ltd.,TAJGVK
1020,533162,Hathway Cable & Datacom Limited,HATHWAY
1021,544496,Vikran Engineering Limited,VIKRAN
1022,539042,AGI Infra Limited,AGI
1023,500227,Jindal Poly Films Ltd.,JINDALPOLY
1024,534535,STRING METAVERSE LIMITED,STRINGMETA
1025,544055,Muthoot Microfin Limited,MUTHOOTMF
1026,532369,Ramco Industries Ltd,RAMCOIND
1027,511551,Monarch Networth Capital Limited,MONARCH
1028,543942,UTKARSH SMALL FINANCE BANK LIMITED,UTKARSHSFB
1029,508814,Cosmo First Limited,COSMOFIRST
1030,519091,Tasty Bite Eatables Ltd.,TASTYBITE
1031,544320,CARRARO INDIA LIMITED,CARRARO
1032,544291,RAJESH POWER SERVICES LIMITED ,RAJESHPOWER
1033,500314,Oriental Hotels Ltd.,ORIENTHOT
1034,506109,Genesys International Corporation Ltd.,GENESYS
1035,504036,Hind Rectifiers Ltd.,HINDRECT
1036,533676,Indo Thai Securities Limited,INDO
1037,504341,RAVINDRA ENERGY LIMITED,RAVINDRA
1038,535322,Repco Home Finance Limited,REPCOHOME
