Sr. No.,Scrip Code,Name of Company,TICKER
1,500325,Reliance Industries Ltd,RELIANCE
2,500180,HDFC Bank Ltd.,HDFCBANK
3,532540,Tata Consultancy Services Ltd.,TCS
4,532454,Bharti Airtel  Ltd.,BHARTIARTL
5,532174,ICICI Bank Ltd.,ICICIBANK
6,500112,State Bank Of India,SBIN
7,500209,Infosys Ltd,INFY
8,500034,Bajaj Finance Limited,BAJAJFINANCE
9,500696,Hindustan Unilever Ltd.,HINDUNILVR
10,543526,LIFE INSURANCE CORPORATION OF INDIA,LICI
11,500875,ITC Ltd,ITC
12,500510,Larsen & Toubro Limited,LT
13,532500,Maruti Suzuki India  Ltd.,MARUTI
14,532281,HCL Technologies Ltd,HCLTECH
15,500247,Kotak Mahindra Bank Ltd.,KOTAKBANK
16,500520,Mahindra & Mahindra Ltd.,M&M
17,524715,Sun Pharmaceutical Industries Ltd.,SUNPHARMA
18,532215,AXIS Bank Ltd.,AXISBANK
19,532538,UltraTech Cement Ltd,ULTRACEMCO
20,532555,NTPC Limited,NTPC
21,532978,Bajaj Finserv Limited,BAJAJFINSV
22,541154,Hindustan Aeronautics Limited,HAL
23,500114,Titan Company Limited,TITAN
24,500312,Oil And Natural Gas Corporation Ltd,ONGC
25,532921,Adani Ports and Special Economic Zone Ltd,ADANIPORTS
26,500049,Bharat Electronics Ltd.,BEL
27,512599,Adani Enterprises Ltd.,ADANIENSOL
28,543320,Eternal Limited,ETERNAL
29,540376,Avenue Supermarts Limited,DMART
30,532898,POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID
31,507685,Wipro  Ltd.,WIPRO
32,500228,JSW Steel Limited,JSWSTEEL
33,500570,TATA MOTORS PASSENGER VEHICLES LIMITED,TATAMOTORS
34,533096,Adani Power Limited,ADANIPOWER
35,532977,Bajaj Auto Limited,BAJAJ-AUTO
36,533278,Coal India Limited,COALINDIA
37,500820,Asian Paints Ltd.,ASIANPAINT
38,500790,Nestle India Ltd.,NESTLEIND
39,539448,InterGlobe Aviation Limited,INDIGO
40,530965,Indian Oil Corporation Ltd.,IOC
41,500470,TATA STEEL LIMITED,TATASTEEL
42,543940,Jio Financial Services Limited,JIOFIN
43,532868,DLF LIMITED,DLF
44,500188,Hindustan Zinc Ltd.,HINDZINC
45,500251,Trent Ltd [Lakme Ltd],TRENT
46,500300,Grasim Industries Ltd,GRASIM
47,540719,SBI Life Insurance Company Limited,SBILIFE
48,544274,HYUNDAI MOTOR INDIA LIMITED,HYUNDAI
49,500295,Vedanta Limited,VEDL
50,543257,Indian Railway Finance Corporation,IRFC
51,532488,Divi's Laboratories Ltd.,DIVISLAB
52,505200,Eicher Motors Ltd.,EICHERMOT
53,540777,HDFC LIFE INSURANCE COMPANY LIMITED,HDFCLIFE
54,540180,Varun Beverages Limited,VBL
55,541450,Adani Green Energy Limited,ADANIGREEN
56,500440,Hindalco Industries Ltd.,HINDALCO
57,540005,LTIMindtree Limited,LTIM
58,500331,Pidilite Industries Ltd.,PIDILITIND
59,532755,Tech Mahindra Limited,TECHM
60,500490,Bajaj Holdings & Investment Limited,BAJAJHLDNG
61,532343,TVS Motor Company Ltd.,TVSMOTOR
62,500547,Bharat Petroleum Corpn. Ltd.,BPCL
63,500425,Ambuja Cements Ltd.,AMBUJACEM
64,544574,Tata Capital Limited,TATACAP
65,500825,Britannia Industries Ltd.,BRITANNIA
66,532725,Solar Industries India Limited,SOLARINDS
67,532810,Power Finance Corporation Ltd,PFC
68,511243,Cholamandalam Investment and Finance Company Ltd,CHOLAFIN
69,543287,Lodha Developers Limited,LODHA
70,532134,Bank Of Baroda,BANKBARODA
71,500400,Tata Power Co. Ltd,TATAPOWER
72,532424,Godrej Consumer Products Ltd.,GODREJCP
73,532461,Punjab National Bank,PNB
74,500087,Cipla Ltd.,CIPLA
75,511218,Shriram Finance Limited,SHRIRAMFIN
76,543237,Mazagon Dock Shipbuilders Limited,MAZDOCK
77,532155,Gail (India) Ltd.,GAIL
78,500002,ABB India Limited,ABB
79,500420,Torrent Pharmaceuticals Ltd.,TORNTPHARM
80,543220,Max Healthcare Institute Limited,MAXHEALTH
81,544390,Siemens Energy India Limited,SIEMENS
82,541729,HDFC Asset Management Company Limited,HDFCAMC
83,544576,LG Electronics India Limited,LGEINDIA
84,500550,Siemens Ltd.,SIEMENS
85,500800,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
86,500093,CG Power and Industrial Solutions Limited,CGPOWER
87,500387,Shree Cements Ltd.,SHREECEM
88,533398,MUTHOOT FINANCE LIMITED,MUTHOOTFIN
89,500850,Indian Hotels Co. Ltd,INDHOTEL
90,500530,Bosch Ltd,BOSCHLTD
91,508869,Apollo Hospitals Enterprises Ltd.,APOLLOHOSP
92,517334,Samvardhana Motherson International Limited,MOTHERSON
93,532477,Union Bank of India,UNIONBANK
94,500124,Dr. Reddy's Laboratories Ltd.,DRREDDY
95,539254,Adani Energy Solutions Limited,ADANIENSOL
96,532483,Canara Bank,CANBK
97,532955,REC LIMITED,RECLTD
98,543904,Mankind Pharma Limited,MANKIND
99,542652,Polycab India Limited,POLYCAB
100,532432,United Spirits Limited,UNITDSPR
101,500116,IDBI Bank Ltd,IDBI
102,532286,JINDAL STEEL LIMITED,JINDALSTEL
103,500480,Cummins India Ltd.,CUMMINSIND
104,534816,INDUS TOWERS LIMITED,INDUSTOWER
105,532321,Zydus Lifesciences Limited,ZYDUSLIFE
106,540699,Dixon Technologies (India) Limited,DIXON
107,544285,SWIGGY LIMITED,SWIGGY
108,544252,Bajaj Housing Finance Limited,BAJAJHFL
109,517354,Havells India Limited,HAVELLS
110,540716,ICICI Lombard General Insurance Company Limited ,ICICIGI
111,500182,Hero MotoCorp Limited,HEROMOTOCO
112,532754,GMR Airports Limited,GMRAIRPORT
113,531642,Marico Limited,MARICO
114,532777,Info Edge(India) Ltd.,NAUKRI
115,533148,JSW Energy Limited,JSWENERGY
116,544277,Waaree Energies Limited,WAAREE
117,532814,Indian Bank,INDIANB
118,540133,ICICI Prudential Life Insurance Company Limited,ICICIPRULI
119,500257,Lupin Ltd,LUPIN
120,503806,SRF Ltd.,SRF
121,500096,Dabur India Ltd.,DABUR
122,544162,Bharti Hexacom Limited,BHARTIHEXA
123,500104,Hindustan Petroleum Corporation Ltd,HINDPETRO
124,544289,NTPC GREEN ENERGY LIMITED,NTPCGREEN
125,533179,Persistent Systems Limited,PERSISTENT
126,533098,NHPC Limited,NHPC
127,543066,SBI CARDS AND PAYMENT SERVICES LIMITED,SBICARD
128,500103,Bharat Heavy Electricals Ltd.,BHEL
129,532667,SUZLON ENERGY LTD.,SUZLON
130,543187,HITACHI ENERGY INDIA LIMITED,POWERINDIA
131,543390,PB Fintech Limited,POLICYBZR
132,532822,VODAFONE IDEA LIMITED,IDEA
133,532466,Oracle Financial Services Software Limited,OFSS
134,542649,Rail Vikas Nigam Limited,RVNL
135,532388,Indian Overseas Bank,IOB
136,500477,Ashok Leyland Ltd.,ASHOKLEY
137,512455,Lloyds Metals and Energy Limited,LLOYDSME
138,542066,ADANI TOTAL GAS LIMITED,ATGL
139,540691,Aditya Birla Capital Ltd,ABCAPITAL
140,533106,Oil India Limited,OIL
141,533274,Prestige Estates Projects Limited,PRESTIGE
142,506395,Coromandel International Limited,COROMANDEL
143,532779,TORRENT POWER LIMITED,TORRENTPOWER
144,543396,One 97 Communications Limited,PAYTM
145,540755,General Insurance Corporation of India,GICRE
146,500488,Abbott India Ltd.,ABBOTINDIA
147,533150,Godrej Properties Limited,GODREJPROP
148,532539,UNO Minda Limited,UNOMINDA
149,532843,Fortis Healthcare Ltd,FORTIS
150,522275,GE Vernova T&D India Limited,GVTD
151,524804,Aurobindo Pharma Ltd.,AUROPHARMA
152,544307,Vishal Mega Mart Limited,VMM
153,532648,Yes Bank Ltd.,YESBANK
154,509480,Berger Paints India Ltd,BERGEPAINT
155,500830,Colgate-Palmolive (India) Ltd.,COLPAL
156,544429,HDB FINANCIAL SERVICES LIMITED,HDBFS
157,543994,JSW Infrastructure Limited,JSWINFRA
158,500368,Patanjali Foods Limited,PATANJALI
159,526371,NMDC Ltd,NMDC
160,543384,FSN E-Commerce Ventures Limited,NYKAA
161,505790,Schaeffler India Limited,SCHAEFFLER
162,533273,OBEROI REALTY LIMITED,OBEROIRLTY
163,500290,M.R.F. Ltd.,MRF
164,532187,IndusInd Bank Ltd.,INDUSINDBK
165,539523,Alkem Laboratories Limited,ALKEM
166,541143,Bharat Dynamics Limited,BDL
167,542830,Indian Railway Catering & Tourism Corporation Ltd,IRCTC
168,532508,Jindal Stainless Limited,JSL
169,540762,Tube Investments of India Ltd,TIINDIA
170,500493,Bharat Forge Ltd,BHARATFORG
171,523642,PI Industries Limited,PIIND
172,532541,COFORGE LIMITED,COFORGE
173,512070,UPL Limited,UPL
174,523457,Linde India Limited,LINDEINDIA
175,540611,AU Small Finance Bank Limited,AUBANK
176,503100,The Phoenix Mills Ltd.,PHOENIXLTD
177,543278,Kalyan Jewellers India Limited,KALYANKJIL
178,532149,Bank of India,BANKINDIA
179,509930,Supreme Industries Ltd.,SUPREMEIND
180,532892,Motilal Oswal Financial Services Limited,MOTILALOFS
181,533519,L&T Finance Limited,LTF
182,500113,Steel Authority of India Ltd.,SAIL
183,500271,Max Financial Services Limited,MFSL
184,539437,IDFC FIRST BANK LIMITED,IDFCFIRSTB
185,526299,Mphasis Limited,MPHASIS
186,532296,Glenmark Pharmaceuticals ltd,GLENMARK
187,540767,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,NAM-INDIA
188,532478,United Breweries Ltd.,UBL
189,532827,Page Industries Ltd.,PAGEIND
190,500469,Federal Bank Ltd.,FEDERALBNK
191,500660,GlaxoSmithkline Pharmaceuticals Ltd.,GLAXO
192,540678,Cochin Shipyard Limited,COCHINSHIP
193,500163,Godfrey Phillips India Ltd.,GODFRYPHLP
194,532644,J.K. CEMENT LTD,JKCEMENT
195,500483,Tata Communications Limited,TATACOMM
196,502355,Balkrishna Industries Ltd.,BALKRISIND
197,533758,APL Apollo Tubes Limited,APLAPOLLO
198,544238,Premier Energies Limited,PREMIERENE
199,544362,Hexaware Technologies Limited,HEXT
200,539177,Authum Investment & Infrastructure Limited,AIIL
201,544325,ITC Hotels Limited,ITCHOTELS
202,532523,Biocon Ltd.,BIOCON
203,540115,L&T Technology Services Limited,LTTS
204,540530,Housing &Urban Development Corporation Ltd.,HUDCO
205,500575,Voltas Ltd.,VOLTAS
206,500459,Procter & Gamble Hygiene & Health Care Ltd.,PGHH
207,544449,Anthem Biosciences Limited,ANTHEM
208,544026,Indian Renewable Energy Development Agency Limited,IREDA
209,532522,PETRONET LNG LTD.,PETRONET
210,531344,Container Corporation Of India Ltd.,CONCOR
211,542772,360 ONE WAM LIMITED,360ONE
212,533155,Jubilant Foodworks Limited,JUBLFOOD
213,540222,Laurus Labs Limited,LAURUSLABS
214,532525,Bank of maharashtra,MAHABANK
215,543664,KAYNES TECHNOLOGY INDIA LIMITED,KAYNES
216,542216,DALMIA BHARAT LIMITED,DALBHARAT
217,500411,Thermax Ltd.,THERMAX
218,534091,Multi Commodity Exchange of India Ltd,MCX
219,542812,Gujarat Fluorochemicals Limited,FLUOROCHEM
220,500164,Godrej Industries Ltd.,GODREJIND
221,500495,Escorts Kubota Limited,ESCORTS
222,532830,ASTRAL LIMITED,ASTRAL
223,532505,UCO Bank,UCOBANK
224,500092,CRISIL Ltd.,CRISIL
225,533206,SJVN LIMITED,SJVN
226,539551,Narayana Hrudayalaya Limited,NH
227,532889,K.P.R. Mill Ltd.,KPRMILL
228,532720,Mahindra & Mahindra Financial Services Limited,M&MFIN
229,532497,Radico Khaitan Ltd.,RADICO
230,540153,Endurance Technologies Limited,ENDURANCE
231,517569,KEI Industries Ltd.,KEI
232,500408,Tata Elxsi Ltd,TATAELXSI
233,500067,Blue Star Ltd,BLUESTARCO
234,501301,Tata Investment Corporation Ltd.,TATAINVEST
235,532234,National Aluminium Co. Ltd.,NATIONALUM
236,504973,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,CHOLAHLDNG
237,543064,Cohance Lifesciences Limited,COHANCE
238,500410,ACC Ltd,ACC
239,524494,Ipca Laboratories Ltd.,IPCALAB
240,524000,POONAWALLA FINCORP LIMITED,POONAWALLA
241,543654,Global Health Limited,MEDANTA
242,542651,KPIT Technologies Ltd,KPITTECH
243,543458,AWL AGRI BUSINESS LIMITED,AWL
244,532885,Central Bank of India,CENTRALBK
245,513683,NLC India Limited,NLCINDIA
246,523395,3M India Ltd.,3MINDIA
247,517174,Honeywell Automation India Ltd.,HONAUT
248,500086,Exide Industries Ltd.,EXIDEIND
249,532259,Apar Industries Ltd,APARINDS
250,500253,Lic Housing Finance Ltd.,LICHSGFIN
251,543426,Metro Brands Limited,METROBRAND
252,507815,Gillette India Ltd.,GILLETTE
253,532331,Ajanta Pharma Ltd.,AJANTPHARM
254,544179,Go Digit General Insurance Limited,GODIGIT
255,540975,Aster DM Healthcare Limited,ASTERDM
256,543529,Delhivery Limited,DELHIVERY
257,540769,The New India Assurance Company Limited,NIACL
258,539336,Gujarat Gas Limited,GUJGASLTD
259,542011,Garden Reach Shipbuilders & Engineers Limited,GRSE
260,532683,AIA Engineering Ltd.,AIAENG
261,543245, Gland Pharma Limited,GLAND
262,534309,NBCC (India) Limited,NBCC
263,500877,Apollo Tyres Ltd,APOLLOTYRE
264,523610,ITI Limited (Indian Teleph.Ind.Ltd),ITI
265,532514,Indraprashtha Gas Ltd.,IGL
266,543300,Sona BLW Precision Forgings Limited,SONACOMS
267,544028,Tata Technologies Limited,TATATECH
268,544407,AEGIS VOPAK TERMINALS LIMITED,AEGISVOPAK
269,543498,Krishna Institute of Medical Sciences Limited,KIMS
270,543497,Motherson Sumi Wiring India Limited,MSUMI
271,532947,IRB Infrastructure Developers Limited,IRB
272,541153,Bandhan Bank Limited,BANDHANBNK
273,542920,SUMITOMO CHEMICAL INDIA LIMITED,SUMICHEM
274,500003,Aegis Logistics Ltd.,AEGISLOG
275,544309,INVENTURUS KNOWLEDGE SOLUTIONS LIMITED,INVENTURE
276,542752,AFFLE 3I LIMITED,AFFLE
277,543635,PIRAMAL PHARMA LIMITED,PPLPHARMA
278,506943,J.B. Chemicals & Pharmaceuticals Lt,JBCHEPHARM
279,539268,Syngene International Limited,SYNGENE
280,543412,Star Health and Allied Insurance Company Limited,STARHEALTH
281,513599,Hindustan Copper Ltd.,HINDCOPPER
282,506401,Deepak Nitrite Limited,DEEPAKNTR
283,531162,Emami Ltd,EMAMILTD
284,539524,Dr. Lal Pathlabs Limited,LALPATHLAB
285,543299,Shyam Metalics and Energy Limited,SHYAMMETL
286,533023,ZF Commercial Vehicle Control Systems India Limited,ZFCVINDIA
287,532929,Brigade Enterprises Limited,BRIGADE
288,544210,Emcure Pharmaceuticals Limited,EMCURE
289,543988,Nuvama Wealth Management Limited,NUVAMA
290,540902,Amber Enterprises India Limited,AMBER
291,532809,Firstsource Solutions Ltd.,FSL
292,500260,The Ramco Cements Limited,RAMCOCEM
293,540173,PNB Housing Finance Limited,PNBHOUSING
294,506285,Bayer CropScience Limited.,BAYERCROP
295,532300,Wockhardt Ltd,WOCKPHARMA
296,539083,Inox Wind Limited,INOXWIND
297,544467,National Securities Depository Limited,NSDL
298,520056,TVS Holdings Limited,TVSHLD
299,500680,Pfizer Ltd.,PFIZER
300,532504,Navin Fluorine International Limited,NAVINFLUOR
301,500109,Mangalore Refinery & Petrochemicals,MRPL
302,500840,EIH Ltd,EIHOTEL
303,543235,ANGEL ONE LIMITED,ANGELONE
304,500770,Tata Chemicals Ltd,TATACHEM
305,544515,Urban Company Limited,URBANCO
306,544081,Jyoti CNC Automation Limited,JYOTICNC
307,539533,ELITECON INTERNATIONAL LIMITED,
308,522113,Timken India Ltd,TIMKEN
309,500184,Himadri Speciality Chemical Ltd.,HSCL
310,543374,Aditya Birla Sun Life AMC Limited,ABSLAMC
311,532733,SUN TV NETWORK LIMITED,SUNTV
312,532144,Welspun Corp Limited,WELCORP
313,540596,Eris Lifesciences Limited,ERIS
314,532714,KEC International Ltd.,KEC
315,531213,Manappuram Finance Limited,MANAPPURAM
316,532642,JSW Holdings Limited,JSWHL
317,500084,CESC Limited,CESC
318,506820,AstraZeneca Pharma India Ltd.,ASTRAZEN
319,539006,PTC Industries Ltd.,PTCIL
320,500040,ADITYA BIRLA REAL ESTATE LIMITED,ABREL
321,500085,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT
322,540680,KIOCL Limited,KIOCL
323,500472,SKF India Ltd.,SKFINDIA
324,544225,Ola Electric Mobility Limited,OLAELECTRIC
325,544292,Onesource Specialty Pharma Limited,ONESOURCE
326,533295,PUNJAB & SIND BANK,PSB
327,531768,Poly Medicure Ltd,POLYMED
328,532939,Reliance Power Limited,RPOWER
329,532805,Redington Limited,REDINGTON
330,539876,Crompton Greaves Consumer Electricals Limited,CROMPTON
331,544176,Aadhar Housing Finance Limited,AADHARHFC
332,500403,Sundram Fasteners Ltd.,SUNDRMFAST
333,543330,Devyani International Limited,DEVYANI
334,543415,Anand Rathi Wealth Limited,ANANDRATHI
335,500042,BASF India Ltd,BASF
336,531531,Hatsun Agro Products Ltd.,HATSUN
337,500870,Castrol India Ltd,CASTROLIND
338,500033,Force Motors Limited,FORCEMOT
339,544282,Sagility Limited,SAGILITY
340,541770,CreditAccess Grameen Ltd.,CREDITACC
341,542399,Chalet Hotels Limited,CHALET
342,522287,KALPATARU PROJECTS INTERNATIONAL LIMITED,KALPATARU
343,515030,Asahi India Glass Ltd.,ASAHIINDIA
344,500165,Kansai Nerolac Paints,KANSAINER
345,543720,KFin Technologies Limited,KFINTECH
346,544480,JSW CEMENT LIMITED,JSWCEMENT
347,500027,Atul Limited.,ATUL
348,515055,Anant Raj Limited,ANANTRAJ
349,532636,IIFL FINANCE LIMITED ,IIFL
350,534139,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,SCHNEIDER
351,543232,Computer Age Management Services Limited,CAMS
352,517271,HBL ENGINEERING LIMITED,HBLPOWER
353,533581,PG Electroplast Limited,PGEL
354,544226,Brainbees Solutions Limited,FIRSTCRY
355,523367,DCM Shriram Limited,DCMSHRIRAM
356,500645,Deepak Fertilizers &Petrochemicals,DEEPAKFERT
357,533573,ALEMBIC PHARMACEUTICALS LIMITED,ALEMBICLTD
358,500125,E.I.D. Parry (India) Ltd.,EIDPARRY
359,543663,Five-Star Business Finance Ltd.,FIVESTAR
360,543653,Bikaji Foods International Limited,BIKAJI
361,524200,Vinati Organics Ltd.,VINATIORGA
362,506076,Grindwell Norton Ltd.,GRINDWELL
363,504067,Zensar Technologies Ltd.,ZENSARTECH
364,520111,Ratnamani Metals & Tubes Ltd,RATNAMANI
365,543463,Vedant Fashions Limited,MANYAVAR
366,500008,Amara Raja Energy & Mobility Limited,ARE&M
367,500233,Kajaria Ceramics Ltd,KAJARIACER
368,513375,Carborundum Universal Ltd.,CARBORUNIV
369,532927,eClerx Services Limited,ECLERX
370,532702,Gujarat State Petronet Ltd.,GSPL
371,533655,Triveni Turbine Limited,TRITURBINE
372,504614,Sarda Energy & Minerals Ltd,SARDAEN
373,543960,Concord Biotech Limited,CONCORDBIO
374,544403,Aditya Birla Lifestyle Brands Limited,ABLBL
375,530019,JUBILANT PHARMOVA LIMITED,JUBLPHARMA
376,524558,Neuland Laboratories Limited.,NEULANDLAB
377,544321,Ventive Hospitality Limited,VENTIVE
378,500266,Maharashtra Scooters Ltd.,MAHSCOOTER
379,500048,BEML Ltd,BEML
380,541956,IRCON International Ltd,IRCON
381,544306,Sai Life Sciences Limited,SAILIFE
382,500252,LMW Limited,LMW
383,513023,NAVA LIMITED,NAVA
384,532548,Century Plyboards (India) Ltd.,CENTURYPLY
385,531595,Capri Global Capital Limited,CGCL
386,500238,Whirlpool of India Ltd,WHIRLPOOL
387,543238,UTI Asset Management Company Limited,UTIAMC
388,542141,Techno Electric & Engineering Company Limited,TECHNOE
389,543335,Aptus Value Housing Finance India Limited,APTUS
390,532953,V-Guard Industries Ltd.,VGUARD
391,544283,ACME Solar Holdings Limited,ACMESOLAR
392,544397,Ather Energy Limited,ATHERENERG
393,544443,TRAVEL FOOD SERVICES LIMITED,TRAVELFOOD
394,543990,SIGNATUREGLOBAL (INDIA) LIMITED,SIGNATURE
395,532756,CIE Automotive India Limited,CIEINDIA
396,532784,Sobha Limited,SOBHA
397,522074,Elgi Equipments Ltd.,ELGIEQUIP
398,544280,Afcons Infrastructure Limited,AFCONS
399,524742,Caplin Point Laboratories Ltd.,CAPLIPOINT
400,524816,Natco Pharma Ltd.,NATCOPHARM
401,544311,International Gemmological Institute India Limited,IGIL
402,532605,JBM Auto Limited,JBMA
403,500710,Akzo Nobel India Limited,AKZOINDIA
404,500241,Kirloskar Brothers Ltd.,KIRLOSBROS
405,540065,RBL Bank Limited,RBLBANK
406,544466,Aditya Infotech Limited,CPPLUS
407,500043,Bata India Limited,BATAINDIA
408,500106,IFCI Ltd.,IFCI
409,532210,City Union Bank Ltd,CUB
410,524208,Aarti Industries Ltd,AARTIIND
411,544286,NIVA BUPA HEALTH INSURANCE COMPANY LIMITED,NIVABUPA
412,543428,Data Patterns (India) Limited,DATAPATTNS
413,532783,LT Foods Limited,LTFOODS
414,544174,TBO TEK LIMITED,TBOTEK
415,544045,DOMS Industries Limited,DOMS
416,531358,Choice International Ltd,CHOICEIN
417,523405,JM Financial Limited,JMFINANCIL
418,533272,JUPITER WAGONS LIMITED,JWL
419,521064,Trident Ltd,TRIDENT
420,540073,BLS International Services Ltd,BLS
421,532928,Transformers and Rectifiers (India) Limited,TARIL
422,540750,Indian Energy Exchange Limited,IEX
423,533339,Zen Technologies Ltd.,ZENTEC
424,542726,IndiaMART InterMESH Limited,INDIAMART
425,506590,PCBL Chemical Limited,PCBL
426,543530,Paradeep Phosphates Limited,PARADEEP
427,543981,R R KABEL LIMITED,RRKABEL
428,526612,Blue Dart Express Ltd.,BLUEDART
429,543276,Craftsman Automation Limited,CRAFTSMAN
430,543524,Rainbow Children's Medicare Limited,RAINBOW
431,500405,Supreme Petrochem Ltd.,SPLPETRO
432,541557,Fine Organic Industries Limited,FINEORG
433,538835,INTELLECT DESIGN ARENA LIMITED,INTELLECT
434,500878,Ceat Ltd.,CEATLTD
435,500620,Great Eastern Shipping Co. Ltd.,GESHIP
436,540743,Godrej Agrovet Limited,GODREJAGRO
437,532734,GODAWARI POWER AND ISPAT LTD.,GPIL
438,500249,KSB LIMITED,KSB
439,540900,Newgen Software Technologies Limited,NEWGEN
440,532181,Gujarat Mineral Development Corpora,GMDC
441,543334,Nuvoco Vistas Corporation Limited,NUVOCO
442,544408,Leela Palaces Hotels & Resorts Limited,THELEELA
443,503310,Swan Corp Limited,SWANCORP
444,532726,GALLANTT ISPAT LIMITED,GALLANTT
445,505714,Gabriel India Ltd.,GABRIEL
446,543945,NETWEB TECHNOLOGIES INDIA LIMITED,NETWEB
447,541988,AAVAS Financiers Limited,AAVAS
448,532832,EMBASSY DEVELOPMENTS LIMITED,EMBDL
449,500294,NCC Limited,NCC
450,532175,Cyient Limited,CYIENT
451,544350,Dr. Agarwal's Health Care Limited,AGARWALEYE
452,544172,Indegene Limited,INDGN
453,500378,Jindal Saw Ltd.,JINDALSAW
454,505700,Elecon Engineering Co.Ltd.,ELECON
455,532762,Action Construction Equipments Ltd.,ACE
456,544009,Blue Jet Healthcare Limited,BLUEJET
457,500144,Finolex Cables Ltd.,FINCABLES
458,531335,Zydus Wellness Limited,ZYDUSWELL
459,539957,Mahanagar Gas Limited,MGL
460,501425,Bombay Burmah Trading Corpn. Ltd.,BBTC
461,544203,Allied Blenders and Distillers Limited,ABDL
462,543318,Clean Science and Technology Limited,CLEAN
463,509496,Cemindia Projects Limited,CEMPRO
464,544012,Cello World Limited,CELLO
465,502986,Vardhman Textiles Limted,VTL
466,543259,Home First Finance Company India Limited,HOMEFIRST
467,533282,GRAVITA INDIA LIMITED,GRAVITA
468,533293,Kirloskar Oil Engines Limited,KIRLOSENG
469,500674,Sanofi India Ltd,SANOFI
470,500940,Finolex Industries Ltd.,FINPIPE
471,541556,RITES Limited,RITES
472,543573,Syrma SGS Technology Limited,SYRMA
473,538962,Minda Corporation Limited,MINDACORP
474,532627,Jaiprakash Power Ventures Limited,J P POWER
475,514162,WELSPUN LIVING LIMITED,WELSPUNLIV
476,535755,Aditya Birla Fashion and Retail Limited,ABFRL
477,532926,JYOTHY LABS LIMITED,JYOTHYLAB
478,532482,Granules India Ltd.,GRANULES
479,543265,RailTel Corporation of India Limited,RAILTEL
480,500210,Ingersoll-Rand (India) Ltd.,INGERRAND
481,543322,ALIVUS LIFE SCIENCES LIMITED,ALIVUS
482,544488,Vikram Solar Limited,VIKRAMSOLR
483,543317,G R Infraprojects Limited,GRINFRA
484,541233,Lemon Tree Hotels Limited,LEMONTREE
485,544537,Jain Resource Recycling Limited,JAINREC
486,500390,Reliance Infrastructure Ltd,RELINFRA
487,543275,Anupam Rasayan India Limited,ANURAS
488,532371,Tata Teleservices (Maharashtra) Ltd.,TTML
489,543768,NMDC Steel Limited,NMDCS
490,532966,TITAGARH RAIL SYSTEMS LIMITED,TITAGARH
491,532178,Engineers India Ltd.,ENGINERSIN
492,543959,SBFC Finance Limited,SBFC
493,505537,Zee Entertainment Enterprises Ltd.,ZEEL
494,543413,Tega Industries Limited,TEGA
495,544405,BELRISE INDUSTRIES LIMITED,BELRISE
496,544250,Sanofi Consumer Healthcare India Limited,SANOFICONR
497,532209,Jammu and Kashmir Bank Ltd.,J&KBANK
498,543271,Jubilant Ingrevia Limited,JUBLINGREA
499,517146,Usha Martin Ltd.,USHAMART
500,500183,HFCL LIMITED,HFCL
501,519600,CCL Products (India) Ltd.,CCL
502,532439,OLECTRA GREENTECH LIMITED,OLECTRA
503,540595,Tejas Networks Limited,TEJASNET
504,530517,Relaxo Footwears Ltd.,RELAXO
505,543527,Prudent Corporate Advisory Services Limited,PRUDENT
506,535789,Sammaan Capital Limited,SAMMAANCAP
507,530005,India Cements Ltd.,INDIACEM
508,500038,Balrampur Chini Mills Ltd.,BALRAMCHIN
509,543482,Eureka Forbes Limited,EUREKAFORB
510,534618,WAAREE RENEWABLE TECHNOLOGIES LIMITED,WAAREERTL
511,544583,Canara HSBC Life Insurance Company Limited,CANHLIFE
512,543280,Nazara Technologies Limited,NAZARA
513,544344,SHRIRAM PISTONS & RINGS LTD,SHRIPISTON
514,505533,WESTLIFE FOODWORLD LIMITED,WESTLIFE
515,532400,BIRLASOFT LIMITED,BSOFT
516,532221,Sonata Software Ltd.,SONATSOFTW
517,532527,ramkrishna forgings Ltd.,RKFORGE
518,520113,Vesuvius India Ltd.,VESUVIUS
519,544046,INOX India Limited,INOXINDIA
520,531431,Shakti Pumps (India) Ltd.,SHAKTIPUMP
521,543349,ACUTAAS CHEMICALS LIMITED,ACUTAAS
522,509488,Graphite India Ltd.,GRAPHITE
523,523025,Safari Industries (India) Ltd.,SAFARI
524,544061,Azad Engineering Limited,AZAD
525,500380,JK Lakshmi Cement Limited,JKLAKSHMI
526,500110,Chennai Petroleum Corporation Ltd.,CHENNPETRO
527,530343,Genus Power Infrastructures Ltd,GENUSPOWER
528,506767,Alkyl Amines Chemicals Ltd.,ALKYLAMINE
529,543350,Vijaya Diagnostic Centre Limited,VIJAYA
530,511196,Can Fin Homes Ltd.,CANFINHOME
531,532689,PVR INOX LIMITED,PVRINOX
532,543397,Sapphire Foods India Limited,SAPPHIRE
533,543427,Medplus Health Services Limited,MEDPLUS
534,543534,Aether Industries Limited,AETHER
535,533160,VALOR ESTATE LIMITED,DBREALTY
536,532922,Edelweiss Financial Services Ltd.,EDELWEISS
